price;rooms;size;bathrooms;living_areas;bedrooms;type_of_property;city;region
670000.0;6;664;3;null;null;house;Le Bardo;Khaznadar
580000.0;5;310;2;null;null;house;El Menzah;El Manar 1
878500.0;5;209;4;null;4;apartment;La Soukra;Chotrana 1
338800.0;5;615;2;null;3;house;Djerba;Djerba
275000.0;5;120;2;null;null;house;Djerba;Djerba
276400.0;5;475;2;null;2;house;Djerba;Djerba
750000.0;3;221;3;4;null;apartment;La Soukra;Chotrana 1
1480000.0;9;422;2;null;7;house;Carthage;Carthage Byrsa
420000.0;4;226;2;null;3;house;El Mourouj;El Mourouj 6
125000.0;null;null;null;null;null;null;Mornaguia;Mornaguia 20 Mars
null;10;250;null;5;null;house;e;Jayara inSidi Hass
1250000.0;5;361;4;6;null;apartment;Le Kram;Les Jardins de Carthage
120000.0;null;83;1;2;2;house;Sousse Ville;Sousse Medina
290000.0;null;130;1;null;3;house;Le Bardo;Le Bardo
150000.0;3;110;1;null;null;house;null;Hammam Ghezèze
null;null;600;1;null;3;house;La Marsa;Cité Du Stade
180000.0;1;300;1;1;null;house;null;Kelibia
1050000.0;4;500;null;5;null;apartment;null;Korba
190000.0;3;137;1;4;null;house;La Soukra;Dar Fadhal
680000.0;8;202;2;null;null;house;Le Bardo;Ksar Said
null;2;65;1;3;null;house;Bizerte Nord;Bizerte
null;null;90;2;null;4;house;El Omrane Superieur;El Omrane Supérieur
280000.0;null;170;null;4;3;house;Tunis;El Halfaouine
null;null;500;null;null;null;land;Hammamet;Hammamet
425000.0;2;200;1;null;null;house;null;Hammam Ghezèze
330000.0;3;260;2;4;null;house;null;Kelibia
200000.0;2;369;1;3;null;house;null;Kelibia
null;null;151;1;3;2;house;Hammamet;Hammamet Sud
3400000.0;7;625;null;null;null;house;null;La Marsa
115000.0;2;100;1;3;null;house;null;Kelibia
140000.0;4;100;2;6;null;house;null;Ras Jebel
480000.0;3;175;3;4;null;house;La Marsa;Ain Zaghouan Sud
820000.0;null;null;null;null;null;null;La Marsa;Gammarth
70000.0;2;220;1;null;null;house;null;El Haouaria
950000.0;5;138;2;null;null;house;Le Kram;Les Jardins de Carthage
120000.0;2;90;1;1;null;house;null;Kelibia
1364000.0;null;null;null;null;null;null;Raoued;Raoued
210000.0;3;217;1;null;null;house;null;Hammam El Ghezaz
829000.0;null;null;null;null;null;null;Raoued;Raoued
3500000.0;null;1140;2;5;5;apartment;Akouda;Chott Meriem
200000.0;2;103;1;3;null;house;Nabeul;Nabeul
650000.0;6;800;4;6;null;house;null;Kalaa Kebira
320000.0;3;209;1;4;null;house;La Soukra;La Soukra
230000.0;3;92;2;4;null;house;El Omrane Superieur;Cite Ubn Khaldoun
850000.0;7;320;4;null;null;apartment;La Marsa;Gammarth
2300000.0;5;850;2;7;null;house;El Menzah;Mutuelle Ville
120000.0;3;70;3;null;null;house;Nabeul;Nabeul
350000.0;4;450;1;null;null;house;Sousse Ville;Sousse Ville
415000.0;3;250;2;null;null;house;El Mourouj;El Mourouj 3
630000.0;5;250;1;null;4;house;Ariana Ville;Cite Ennasr 2
440000.0;5;220;1;null;null;house;null;Hammam Ghezeze
225000.0;3;376;1;null;null;house;null;Kelibia
1800000.0;9;700;null;14;null;house;Ariana Ville;Les Jardins d'El Menzah 2
95000.0;6;150;1;null;3;house;Oued Ellil;Oued Ellil
250000.0;5;330;1;null;null;house;Fouchana;Cite Brim
1400000.0;null;470;1;3;2;house;null;Khezama Ouest
720000.0;4;242;3;5;null;apartment;La Soukra;La Soukra
200000.0;3;74;1;3;null;house;Sousse Ville;Sousse Ville
620000.0;4;190;null;5;null;house;La Marsa;Ain Zaghouan Nord
320000.0;null;144;null;4;3;apartment;La Marsa;Bhar Lazreg
80000.0;3;600;1;null;null;house;Tabarka;Tabarka Ville
null;5;520;3;null;null;house;Sousse Ville;Sousse Medina
600000.0;null;544;1;5;4;house;Le Bardo;Le Bardo
850000.0;null;667;3;6;5;house;Sousse Ville;Sahloul
295000.0;3;367;1;5;null;house;null;Kelibia
390000.0;4;150;1;null;3;house;La Marsa;Cite Erriadh
800000.0;2;140;null;3;null;house;La Marsa;Cite Les Pins
null;null;70;1;1;1;house;Hammamet;Hammamet Nord
710000.0;null;300;1;4;3;house;La Soukra;La Soukra
550000.0;3;600;2;null;null;house;null;Kalaa Kebira
700000.0;null;250;2;3;3;house;Sousse Jaouhara;Khezama
450000.0;8;430;null;null;null;house;null;Fouchana
null;null;315;1;2;2;house;La Soukra;La Soukra
280000.0;4;190;2;null;null;house;null;Fouchana
480000.0;4;80;2;null;null;house;La Marsa;Ain Zaghouan Sud
1050000.0;7;505;1;null;null;house;Nabeul;Nabeul
260000.0;4;380;1;null;null;house;Djerba;Djerba
210000.0;5;75;1;null;null;house;Hammamet;Hammamet Sud
250000.0;5;180;1;null;null;house;Monastir Ville;Monastir Ville
1500000.0;null;420;4;13;10;house;Le Bardo;Le Bardo
480000.0;2;215;2;3;null;apartment;Hammam Sousse;El Kantaoui
null;null;378;2;6;5;house;La Marsa;Aouina
450000.0;4;216;2;null;3;house;La Marsa;Bhar Lazreg
250000.0;1;319;1;2;null;house;null;Kelibia
