bathrooms,bedrooms,city,city_region,description,living_areas,price,region,rooms,size,type_of_property,url
2,"(None,)",Hammamet,Hammamet Nord inHammamet,"Very nice property for sale. Price 200,000 TND. 3 rooms, 2 bathrooms, 300 m². 4 rooms. Less than 1 year. Floor type: Marble. Exceptional mountain view, Central air conditioning.This beautiful house is for sale in Hammamet Nord. Garden and terrace suitable for relaxation. Enjoy a first class sea view.Schedule your visit to this exceptional house now. Air conditioning system. Contemporary living room.Close to all amenities: school and secondary school and shops in 100 meters, hospitals in 150 meters, bookshop, pharmacy and cafes and restaurants in 200 meters, supermarket and shopping centre in 300 meters, station and public transport in 500 meters, beach in 800 meters, taxi service in 900 meters.","(None,)",200000.0,Hammamet Nord,"(4,)",300,house,https://www.mubawab.tn/en/a/7715732/house-to-buy-in-hammamet-nord-3-beautiful-rooms-view-facing-the-sea-centralised-air-conditioning-
3,"(None,)",Djerba,Djerba inDjerba,"Seize the opportunity with this house for sale. Price 303,400 TND. 2 rooms, 3 bathrooms, area 105 m². 4 rooms. Less than 5 years. Enjoy the comfort of the air conditioning. The residence also has a swimming pool.This beautiful house is for sale in Djerba. Robust door. Fully equipped kitchen.Be the first to visit this house for sale. Green area. Living room with European decor.Nearby: beach in 100 meters, schools in 500 meters, retailers in 1.1 kilometer, supermarket in 1.6 kilometer, bookshop in 1.7 kilometer.","(None,)",303400.0,Djerba,"(4,)",105,apartment,https://www.mubawab.tn/en/a/7722691/house-for-sale-in-djerba-area-of-105-m%C2%B2-property-with-swimming-pool-integrated-air-conditioning-
"(None,)",3,La Marsa,Gammarth Supérieur inLa Marsa,"Find out about this house for sale. Price 1,500,000 TND. 4 living areas, 2 private bathrooms, 300 m². 3 bedrooms. Less than 10 years. Covering: Marble. Residence with swimming pool, Integrated air conditioning.This beautiful house is for sale in Gammarth Supérieur. Comfort and security with central heating and double glazing. Well equipped kitchen.Contact us to visit this house for sale. Satellite dish. Garden. Contemporary living room.Nearby: shops in less than 50 meters, educational establishments and pharmacy in 50 meters, bookshop and restaurants in 100 meters, hospitals in 300 meters, commercial area, station and public transport in 500 meters, supermarket in 1.0 kilometer, beach in 1.3 kilometer.",4,1500000.0,Gammarth Supérieur,"(None,)",300,house,https://www.mubawab.tn/en/a/7708605/beautiful-house-for-sale-in-gammarth-sup%C3%A9rieur-3-lovely-rooms-double-glazed-window-central-air-conditioning-
"(None,)",3,Djerba,Djerba inDjerba,"Unique opportunity on this house for sale. Price 428,900 TND. 5 living areas, 2 private bathrooms, 135 m². 3 bedrooms. Less than 1 year. Covering: Marble. Enjoy the comfort of the air conditioning. The residence also has a swimming pool.Come and check out this house for sale in Djerba. Comfort and security with reinforced door and double glazing. You will have a terrace and a garden.Be the first to visit this house for sale. Equipped kitchen.Close to all amenities: pharmacy in 50 meters, shops in 150 meters, hospitals in 300 meters, commercial area and bars and restaurants in 450 meters, supermarket and bookshop in 500 meters, school and secondary school in 550 meters.",5,428900.0,Djerba,"(None,)",135,apartment,https://www.mubawab.tn/en/a/7059735/house-to-buy-in-midoune-area-of-135-m%C2%B2-swimming-pool-and-air-conditioning-
2,2,,Korba,"Get a great deal with this house for sale. Price 700,000 TND. 3 living areas, 2 bathrooms, 540 m². 2 bedrooms. Less than 20 years. Floor type: Marble. Enjoy a magnificent sea view with absolute quiet and double glazed windows. Reinforced  door and central heating.Come and check out this house for sale . Gardeners, Large terrace. Satellite dish.Be the first to visit this house for sale. Fully equipped kitchen. Air conditioning system. Contemporary living room.",3,700000.0,Korba,"(None,)",540,house,https://www.mubawab.tn/en/a/7736871/house-to-buy-area-of-540-m%C2%B2-satellite-dish-and-reinforced-door-
1,"(None,)",La Soukra,La Soukra inLa Soukra,"Seize the opportunity with this house for sale. Price 365,000 TND. 2 living areas, 1 bathroom, area 121 m². 2 rooms. New. Equipped kitchen.This house is for sale in La Soukra, La Soukra.Nearby: shops in less than 50 meters, school and secondary school in 100 meters, pharmacy in 300 meters, shopping centre in 900 meters, bookshop in 1.5 kilometer, cafes and restaurants in 1.9 kilometer, supermarket in 2.0 kilometer, hospitals in 2.0 kilometers, beach in 2.3 kilometers, taxi service in 2.5 kilometers, station and public transport in 2.9 kilometers.",2,365000.0,La Soukra,2,121,house,https://www.mubawab.tn/en/a/7711261/beautiful-house-for-sale-in-la-soukra-2-rooms-
1,1,,Kélibia,"Get a great deal with this house for sale. Price 38,000 TND. 1 bathroom, area of ​​340 m². 1 Living areas. 1 bedroom. Less than 20 years. Green areas, Balcony.This beautiful house is for sale .Close to all amenities: shops in 1.1 kilometer, pharmacy in 1.2 kilometer, bookshop in 1.2 kilometer, beach in 1.5 kilometer, school and secondary school in 1.8 kilometer.",1,38000.0,Kélibia,"(None,)",340,house,https://www.mubawab.tn/en/a/7736922/home-to-buy-area-340-m%C2%B2-terrace-and-garden-
1,"(None,)",,Kélibia,"Unique opportunity on this house for sale. Price 150,000 TND. 2 rooms, 1 bathroom, area 150 m². 3 rooms. Less than 10 years. Gardeners, Large terrace.This beautiful house is for sale .Nearby: educational establishments, shops and pharmacy in 750 meters, commercial area in 1.0 kilometer.","(None,)",150000.0,Kélibia,"(3,)",150,house,https://www.mubawab.tn/en/a/7736817/find-your-house-to-buy-area-of-150-m%C2%B2-green-areas-balcony-
1,"(None,)",,Kélibia,"Seize the opportunity with this house for sale. Price 170,000 TND. 2 rooms, 1 bathroom, area 200 m². 3 rooms. Less than 5 years. Large terrace.This beautiful house is for sale .Nearby: beach in 1.9 kilometer.","(None,)",170000.0,Kélibia,"(3,)",200,house,https://www.mubawab.tn/en/a/7737000/house-for-sale-3-rooms-terrace-
1,3,,Barraket Essahel,"Don't miss out on this house for sale. 3 bedrooms, 1 bathroom, 210 m². Good condition.This house is for sale . In addition to a terrace, also has a garden and carpark. Microwave oven.Contact us if you are interested in this house. WiFi  Network. Central air conditioning. Well equipped kitchen.","(None,)",,Barraket Essahel,"(None,)",210,house,https://www.mubawab.tn/en/a/7257659/house-for-sale-3-room-green-area-balcony-
2,"(None,)",Ezzahra,Ezzahra inEzzahra,"Find out about this house for sale. Price 470,000 TND. 4 living areas, 2 bathrooms, 140 m². 3 rooms. Good condition. Well equipped kitchen.Come and check out this house for sale in Ezzahra, Ezzahra. Large terrace.Close to all amenities: shops in 50 meters, school and secondary school in 100 meters, bookshop in 150 meters, pharmacy in 200 meters, supermarket and restaurants in 300 meters, hospitals in 2.8 kilometers.",4,470000.0,Ezzahra,3,140,house,https://www.mubawab.tn/en/a/7736959/beautiful-house-for-sale-in-ezzahra-surface-area-140-m%C2%B2-well-equipped-kitchen-
3,6,Ariana Ville,El Menzah 6 inAriana Ville,"Amazing deal on this house for sale. Price 1,400,000 TND. 6 bedrooms, 3 bathrooms, 611 m². 8 rooms. Less than 50 years. Due for reform. Floor type: Tiled. Green area, Balcony.This beautiful house is for sale in El Menzah 6, Ariana Ville. Central air conditioning.Close to all amenities: school and secondary school, shops, bookshop, pharmacy and cafes and restaurants in less than 50 meters, large area in 150 meters, station and public transport in 350 meters, supermarket in 450 meters, taxi in 800 meters, hospitals in 1.2 kilometer.","(None,)",1400000.0,El Menzah 6,8,611,house,https://www.mubawab.tn/en/a/7719815/house-to-buy-in-el-menzah-6-8-comfortable-rooms-beautiful-terrace-and-garden-
1,"(None,)",Akouda,Chott Meriem inAkouda,"Find out about this house for sale. 3 living areas, 1 bathroom, area 250 m². 3 rooms. New.This beautiful house is for sale in Chott Meriem, Akouda. Property with swimming pool.Close to all amenities: shops and beach in 300 meters, bookshop in 1.6 kilometer, schools in 1.6 kilometer, pharmacy in 1.7 kilometer.",3,,Chott Meriem,3,250,house,https://www.mubawab.tn/en/a/7701982/house-for-sale-in-chott-meriem-3-large-rooms-
2,7,El Menzah,El Menzah 9 inEl Menzah,"Don't miss out on this house for sale. Price 1,050,000 TND. 9 living areas, 2 bathrooms, area 539 m². 7 bedrooms. Less than 50 years. Due for reform. Floor type: Tiled. The exterior consists of a garden and a terrace.This house is for sale in El Menzah 9. Air conditioning system. Air conditioned.Contact us if you are interested in this house.Nearby: shops in less than 50 meters, bookshop in 100 meters, educational establishments, pharmacy and commercial area in 150 meters, bars and restaurants in 200 meters, hospitals in 500 meters, supermarket in 550 meters, taxi service in 800 meters, station and public transport in 1.6 kilometer.",9,1050000.0,El Menzah 9,"(None,)",539,house,https://www.mubawab.tn/en/a/7716752/house-for-sale-in-el-menzah-9-7-beautiful-rooms-garden-and-terrace-
2,"(None,)",,Ksar Hellal,"Unique opportunity on this house for sale. Price 410,000 TND. 3 rooms, 2 bathrooms, 380 m². 7 rooms. Good condition. Fitted kitchen.This beautiful house is for sale . Garage.Close to all amenities: school and secondary school, shops and bars and restaurants in less than 50 meters, station and public transport in 200 meters, bookshop and hospitals in 850 meters, pharmacy in 900 meters, supermarket in 1.1 kilometer, large area in 1.2 kilometer.","(None,)",410000.0,Ksar Hellal,"(7,)",380,house,https://www.mubawab.tn/en/a/7712506/beautiful-house-for-sale-total-area-380-m%C2%B2-fitted-kitchen-
"(None,)","(None,)",Sousse Jaouhara,Sahloul inSousse Jaouhara,"Very nice property for sale. 5 rooms, 250 m².Come and check out this house for sale in Sahloul, Sousse Jaouhara. Central heating. Equipped kitchen.Nearby: shops in less than 50 meters, schools, supermarket and bars and restaurants in 200 meters, bookshop in 250 meters, pharmacy in 400 meters, shopping centre in 600 meters, hospitals in 700 meters, public transport and taxi in 750 meters, station in 2.0 kilometers, beach in 2.8 kilometers.","(None,)",,Sahloul,5,250,house,https://www.mubawab.tn/en/a/7716622/very-nice-house-for-sale-in-sahloul-area-250-m%C2%B2-fully-equipped-kitchen-
2,"(None,)",Hammamet,Hammamet Nord inHammamet,"Find out about this house for sale. 3 rooms, 2 bathrooms, 100 m². 3 rooms. Good condition.This house is for sale in Hammamet Nord. Parking spaces for your car. The exterior consists of a beautiful terrace. Stunning sea view.Contact us to visit this house for sale. Enjoy a superb view of the mountains.","(None,)",,Hammamet Nord,"(3,)",100,house,https://www.mubawab.tn/en/a/7737363/house-to-buy-in-hammamet-nord-3-large-rooms-parking-spaces-and-terrace-
